"year","global_tas"
1981,-0.238163501024246
1982,-0.170903503894806
1983,-0.343174487352371
1984,-0.417668491601944
1985,-0.26620951294899
1986,-0.344883501529694
1987,-0.522587478160858
1988,-0.351109504699707
1989,-0.110874496400356
1990,0.0642345026135445
1991,-0.137211501598358
1992,-0.359318494796753
1993,-0.306065499782562
1994,-0.110508501529694
1995,-0.130863502621651
1996,0.18996749818325
1997,0.23369950056076
1998,-0.0144694996997714
1999,0.0556594990193844
2000,0.12041749805212
2001,0.199610501527786
2002,0.191004499793053
2003,0.372950494289398
2004,0.369074493646622
2005,0.591273486614227
2006,0.700343489646912
2007,0.271632492542267
2008,0.236140504479408
2009,0.464533507823944
2010,0.444575488567352
2011,0.570643484592438
2012,0.549220502376556
2013,0.434870511293411
2014,0.598933517932892
2015,0.645381510257721
2016,0.697383522987366
2017,0.688685476779938
2018,0.617945492267609
2019,0.652583479881287
2020,0.800898492336273
2021,0.846827507019043
2022,0.932673513889313
2023,0.913874506950378
2024,0.929438471794128
2025,0.991450488567352
2026,1.06780552864075
2027,1.10729551315308
2028,0.997370481491089
2029,1.19054746627808
2030,1.29839646816254
2031,1.20550048351288
2032,1.09197545051575
2033,1.26501047611237
2034,1.19906151294708
2035,1.2879284620285
2036,1.42699754238129
2037,1.56737852096558
2038,1.59087646007538
2039,1.39089548587799
2040,1.54491746425629
2041,1.64867746829987
2042,1.62053954601288
2043,1.4328875541687
2044,1.50597655773163
2045,1.53588449954987
2046,1.70455455780029
2047,1.69567453861237
2048,1.66253244876862
2049,1.67962145805359
2050,1.69463646411896
2051,1.81139647960663
2052,1.60287046432495
2053,1.82308554649353
2054,1.63045847415924
2055,1.79583251476288
2056,1.85238146781921
2057,1.85558652877808
2058,1.92785155773163
2059,2.1319534778595
2060,2.14715147018433
2061,2.05315756797791
2062,2.20360851287842
2063,2.13567638397217
2064,2.10579943656921
2065,1.91051745414734
2066,1.96184849739075
2067,1.98949754238129
2068,2.01165342330933
2069,2.13726353645325
2070,2.08504748344421
2071,2.196040391922
2072,2.14434361457825
2073,2.04961657524109
2074,2.17940855026245
2075,2.21096348762512
2076,2.20244956016541
2077,2.32607555389404
2078,2.26528453826904
2079,2.27788853645325
2080,2.52068638801575
2081,2.45031261444092
2082,2.23876452445984
2083,2.22820544242859
2084,2.30666661262512
2085,2.39730358123779
2086,2.50048351287842
2087,2.3323016166687
2088,2.35399961471558
2089,2.39696860313416
2090,2.20748448371887
2091,2.09185361862183
2092,2.09981846809387
2093,2.28075742721558
2094,2.347163438797
2095,2.3183856010437
2096,2.19542956352234
2097,2.21819639205933
2098,2.51769542694092
2099,2.4810745716095
