"year","global_tas"
1981,-0.177412450313568
1982,-0.272840440273285
1983,-0.294599443674088
1984,-0.171797454357147
1985,-0.390913456678391
1986,-0.304731458425522
1987,-0.111494451761246
1988,-0.151930451393127
1989,-0.144331455230713
1990,-0.0779554471373558
1991,-0.00242444989271462
1992,-0.277754455804825
1993,-0.260786443948746
1994,-0.348738461732864
1995,-0.137892454862595
1996,-0.128828451037407
1997,0.0425585508346558
1998,0.157029554247856
1999,0.205461546778679
2000,0.234819546341896
2001,0.235978543758392
2002,0.231217548251152
2003,0.238298550248146
2004,0.268754541873932
2005,0.332749545574188
2006,0.155046552419662
2007,0.254746556282043
2008,0.394822537899017
2009,0.300798535346985
2010,0.250108540058136
2011,0.216142550110817
2012,0.365495562553406
2013,0.325944542884827
2014,0.416673541069031
2015,0.216447547078133
2016,0.243241548538208
2017,0.502091526985168
2018,0.706071555614471
2019,0.513200521469116
2020,0.655686557292938
2021,0.703111529350281
2022,0.503953576087952
2023,0.45207354426384
2024,0.721910536289215
2025,0.697648525238037
2026,0.676164567470551
2027,0.754838526248932
2028,0.801835536956787
2029,0.852861523628235
2030,0.754502534866333
2031,0.784928560256958
2032,0.701097548007965
2033,0.961839556694031
2034,0.958299577236176
2035,1.0142685174942
2036,1.19328451156616
2037,1.17680549621582
2038,1.13371455669403
2039,1.29548752307892
2040,1.31443953514099
2041,1.44780158996582
2042,1.42149555683136
2043,1.24833858013153
2044,1.47847151756287
2045,1.65251350402832
2046,1.77046358585358
2047,1.88652157783508
2048,1.59767353534698
2049,1.51158249378204
2050,1.64601254463196
2051,1.75816452503204
2052,1.92360055446625
2053,1.98973250389099
2054,1.94661152362823
2055,2.0422534942627
2056,2.11201643943787
2057,2.12181258201599
2058,2.00810360908508
2059,2.07801961898804
2060,2.1610586643219
2061,2.23838949203491
2062,2.41810750961304
2063,2.42369246482849
2064,2.37965559959412
2065,2.59477353096008
2066,2.68477058410645
2067,2.62330746650696
2068,2.66172957420349
2069,2.7057056427002
2070,2.79969954490662
2071,2.99846053123474
2072,3.00380063056946
2073,2.93583846092224
2074,2.94835066795349
2075,2.93477058410645
2076,2.89778256416321
2077,3.14701962471008
2078,3.22187948226929
2079,3.38816952705383
2080,3.39396858215332
2081,3.46894955635071
2082,3.45063948631287
2083,3.52525448799133
2084,3.67082357406616
2085,3.70720052719116
2086,3.69362044334412
2087,3.87376546859741
2088,3.77806258201599
2089,3.90315365791321
2090,3.9314136505127
2091,4.08207845687866
2092,4.1291675567627
2093,4.33784675598145
2094,4.34544563293457
2095,4.35591268539429
2096,4.5529956817627
2097,4.49821662902832
2098,4.31581258773804
2099,4.56965732574463
