"year","global_tas"
1981,-0.230604499578476
1982,-0.387678503990173
1983,-0.656294524669647
1984,-0.422834485769272
1985,-0.0933365002274513
1986,-0.141188502311707
1987,-0.302687495946884
1988,-0.193891495466232
1989,-0.258772492408752
1990,-0.0430124998092651
1991,-0.0246415007859468
1992,-0.476515501737595
1993,-0.415632486343384
1994,-0.237867504358292
1995,-0.0905285030603409
1996,-0.0205825008451939
1997,0.0850085020065308
1998,0.0977345034480095
1999,0.0708175003528595
2000,0.12330749630928
2001,0.3758405148983
2002,0.475633502006531
2003,0.319169491529465
2004,0.289231508970261
2005,0.368577510118484
2006,0.170060500502586
2007,0.0876635015010834
2008,0.205918505787849
2009,0.220262497663498
2010,0.258988499641418
2011,0.199571505188942
2012,0.229264497756958
2013,0.32524248957634
2014,0.288316488265991
2015,0.474626511335373
2016,0.386155486106873
2017,0.225724503397942
2018,0.244920507073402
2019,0.294633507728577
2020,0.207994505763054
2021,0.362626492977142
2022,0.49260151386261
2023,0.363694489002228
2024,0.442338496446609
2025,0.641008496284485
2026,0.481706500053406
2027,0.645829498767853
2028,0.844163477420807
2029,0.600755512714386
2030,0.414842486381531
2031,0.717271506786346
2032,0.76512348651886
2033,0.728715479373932
2034,0.751145482063293
2035,0.701585471630096
2036,0.880448520183563
2037,0.922807514667511
2038,0.831681489944458
2039,0.843553483486176
2040,0.974412500858307
2041,0.774339497089386
2042,0.825517475605011
2043,0.996202528476715
2044,1.11067354679108
2045,1.09074544906616
2046,1.04414546489716
2047,1.05153048038483
2048,1.10170149803162
2049,1.20417952537537
2050,1.28926253318787
2051,1.19374251365662
2052,1.29606747627258
2053,1.31413447856903
2054,1.17656147480011
2055,1.32597553730011
2056,1.50599849224091
2057,1.47664046287537
2058,1.34541451931
2059,1.40910446643829
2060,1.57417452335358
2061,1.75145149230957
2062,1.40129244327545
2063,1.59605550765991
2064,1.69072151184082
2065,1.64839351177216
2066,1.72755551338196
2067,1.83476448059082
2068,1.97438251972198
2069,2.01915144920349
2070,1.70997750759125
2071,1.9117294549942
2072,2.05476546287537
2073,2.13844442367554
2074,2.09889340400696
2075,2.07972860336304
2076,2.19993758201599
2077,2.14122152328491
2078,2.23677253723145
2079,2.46501350402832
2080,2.47056746482849
2081,2.32017660140991
2082,2.31254744529724
2083,2.42018246650696
2084,2.37083554267883
2085,2.46605038642883
2086,2.64122152328491
2087,2.71721053123474
2088,2.76030158996582
2089,2.74321150779724
2090,2.82530355453491
2091,2.80207943916321
2092,2.85115242004395
2093,2.86992049217224
2094,2.97703742980957
2095,3.03160238265991
2096,3.16545248031616
2097,3.00905060768127
2098,2.99223446846008
2099,3.14973640441895
