"year","global_tas"
1981,-0.0214806664735079
1982,-0.0114806666970253
1983,-0.0114806666970253
1984,-0.0114806666970253
1985,-0.00148066692054272
1986,0.00851933285593987
1987,0.0185193326324224
1988,0.028519332408905
1989,0.0385193340480328
1990,0.0485193319618702
1991,0.0485193319618702
1992,0.0685193315148354
1993,0.0785193294286728
1994,0.0985193327069283
1995,0.108519330620766
1996,0.128519326448441
1997,0.148519337177277
1998,0.168519333004951
1999,0.188519328832626
2000,0.208519339561462
2001,0.228519335389137
2002,0.258519321680069
2003,0.298519343137741
2004,0.338519334793091
2005,0.368519335985184
2006,0.408519327640533
2007,0.438519328832626
2008,0.468519330024719
2009,0.508519351482391
2010,0.538519322872162
2011,0.568519353866577
2012,0.608519315719604
2013,0.63851934671402
2014,0.678519308567047
2015,0.718519330024719
2016,0.758519351482391
2017,0.798519313335419
2018,0.848519325256348
2019,0.88851934671402
2020,0.938519358634949
2021,0.988519310951233
2022,1.03851938247681
2023,1.08851933479309
2024,1.13851928710938
2025,1.19851934909821
2026,1.24851930141449
2027,1.30851936340332
2028,1.36851930618286
2029,1.42851936817169
2030,1.48851931095123
2031,1.55851936340332
2032,1.61851930618286
2033,1.68851935863495
2034,1.74851930141449
2035,1.82851934432983
2036,1.89851927757263
2037,1.97851932048798
2038,2.04851937294006
2039,2.11851930618286
2040,2.19851922988892
2041,2.27851939201355
2042,2.36851930618286
2043,2.45851922035217
2044,2.55851936340332
2045,2.65851926803589
2046,2.73851943016052
2047,2.82851934432983
2048,2.91851925849915
2049,3.00851941108704
2050,3.08851933479309
2051,3.16851925849915
2052,3.24851942062378
2053,3.36851930618286
2054,3.46851944923401
2055,3.55851936340332
2056,3.65851926803589
2057,3.75851941108704
2058,3.84851932525635
2059,3.96851944923401
2060,4.09851932525635
2061,4.18851947784424
2062,4.28851938247681
2063,4.3785195350647
2064,4.50851917266846
2065,4.64851951599121
2066,4.80851936340332
2067,4.98851919174194
2068,5.13851928710938
2069,5.24851942062378
2070,5.36851930618286
2071,5.47851943969727
2072,5.58851909637451
2073,5.69851922988892
2074,5.80851936340332
2075,5.93851947784424
2076,6.08851909637451
2077,6.24851942062378
2078,6.4285192489624
2079,6.6285195350647
2080,6.78851938247681
2081,6.95851945877075
2082,7.10851955413818
2083,7.26851940155029
2084,7.41851949691772
2085,7.568519115448
2086,7.68851947784424
2087,7.818519115448
2088,7.93851947784424
2089,8.15851974487305
2090,8.28851890563965
2091,8.41851902008057
2092,8.54851913452148
2093,8.66851902008057
2094,8.78851890563965
2095,8.89851951599121
2096,9.03851890563965
2097,9.25851917266846
2098,9.45851898193359
2099,9.62851905822754
