region,year,mean,sdev
CYP,1980-1999,-8.9233854724567352e-06,6.062127995348066e-05
TON,1980-1999,1.1736144924804185e-05,4.0769626454807193e-05
MHL,1980-1999,5.2991030522820589e-06,8.539037007042837e-05
CHN,1980-1999,-3.1899976598433624e-06,2.7918692695348685e-05
MAF,1980-1999,8.9036522623982027e-06,9.7219463723289022e-05
VUT,1980-1999,1.1430191798416879e-05,6.0041587825342875e-05
SPM,1980-1999,1.2020783660286991e-05,2.1362720481182971e-05
BEL,1980-1999,-9.0588047640923252e-07,8.5343240810363413e-06
ISL,1980-1999,1.6019053650752484e-05,3.0482663337436199e-05
CHL,1980-1999,2.4964342071350294e-06,1.3311948648921091e-05
POL,1980-1999,4.3104269253770385e-06,1.2306687830762599e-05
MLT,1980-1999,-5.6583603950394822e-06,5.2887655014038658e-05
FUND-FSU,1980-1999,7.9967903504212424e-06,2.1958562917794886e-05
GMB,1980-1999,-1.8524967584834799e-05,9.6937972665168024e-05
BLM,1980-1999,1.5886286757081219e-05,6.204670111278474e-05
KHM,1980-1999,-3.5910490342638983e-05,0.00011420240829002598
GTM,1980-1999,1.2499774082615341e-05,4.3444188384110285e-05
DMA,1980-1999,1.6732822683968507e-05,7.095309436162646e-05
HTI,1980-1999,-6.1230272152492528e-06,0.00011508160737664342
SRB,1980-1999,7.2508418634342476e-06,2.8927337945651345e-05
NLD,1980-1999,2.1673890228375165e-07,9.0672055696510282e-06
UMI,1980-1999,6.6342820944495473e-06,8.7467787602684143e-05
BRB,1980-1999,1.5984127516303958e-05,0.00010817863946667312
GNB,1980-1999,-2.1339831380207703e-05,0.00010062955415223656
GRL,1980-1999,4.2716859000399453e-05,8.4963102369740675e-05
TWN,1980-1999,nan,nan
COG,1980-1999,7.4593642753882064e-06,8.3208872896039298e-05
COD,1980-1999,1.142882381347747e-05,8.8534883375245542e-05
IRL,1980-1999,5.5605272176839248e-07,5.8492187614447935e-06
JOR,1980-1999,3.5818419978260459e-06,5.0879581818239764e-05
BHR,1980-1999,-4.7674645732152249e-05,0.00012340128585126381
YEM,1980-1999,6.2054162450529847e-06,5.6059101839731424e-05
NPL,1980-1999,-3.9035741915917782e-06,6.7293631573047964e-05
LAO,1980-1999,-3.3277798970963851e-06,7.2825690789477562e-05
CAN,1980-1999,1.7598557235932527e-05,1.5821818293005021e-05
URY,1980-1999,7.5015587521597747e-07,2.0617203431272515e-05
KWT,1980-1999,-4.1713132842183758e-05,0.00010817932227124927
CPV,1980-1999,2.2219155103167193e-05,6.6427440782601153e-05
SHN,1980-1999,1.0881393858569112e-05,2.5546515259496297e-05
UGA,1980-1999,2.8228835329051438e-05,7.5751712645161158e-05
UKR,1980-1999,1.0914552382549929e-05,2.5805435364372863e-05
TCD,1980-1999,-8.4468185129326845e-05,0.00015585931901650115
SSD,1980-1999,-2.4957893835615808e-05,0.00014180543480001772
PLW,1980-1999,3.1181355060700633e-06,0.00010756065194321177
HMD,1980-1999,nan,nan
PHL,1980-1999,-1.4471433441162987e-06,9.3608977532583839e-05
CA-,1980-1999,-8.6236317257964978e-06,4.155079236688234e-05
WSM,1980-1999,3.2277834278798021e-06,8.3991498003341841e-05
DNK,1980-1999,3.3523021437521736e-06,1.0368249632469613e-05
ESH,1980-1999,3.1160856885846868e-06,5.9779527079922451e-05
FUND-CHI,1980-1999,-2.9840951942867999e-06,2.7703174339481588e-05
ATF,1980-1999,nan,nan
BFA,1980-1999,-8.7283313682583961e-05,0.00015218494464696228
VEN,1980-1999,5.5013048674182828e-06,9.2196422028531516e-05
ARM,1980-1999,7.2804198151328294e-06,2.6964519761404599e-05
TJK,1980-1999,3.5730875243767151e-06,3.6798294777587575e-05
EST,1980-1999,9.1838266459375402e-06,1.6809407083705434e-05
ARE,1980-1999,-2.0621925511630988e-05,9.0539081518843171e-05
THA,1980-1999,-6.8049142297195965e-06,9.120699226782408e-05
FUND-USA,1980-1999,-3.9570772303205261e-06,2.8202754786923144e-05
MAR,1980-1999,1.0765998003305949e-05,4.1413573686982079e-05
ZMB,1980-1999,2.524355075041051e-05,7.516114740617965e-05
FUND-SIS,1980-1999,4.1522462550662892e-06,9.499796717096094e-05
,1980-1999,-6.9276676091777578e-06,4.7013041237951393e-05
IND,1980-1999,-3.2572503778541912e-05,9.3347760672441295e-05
GGY,1980-1999,6.9965162087686038e-06,1.3618676359282929e-05
MSR,1980-1999,1.0212078377378887e-05,9.2657541367959471e-05
PCN,1980-1999,1.1487870621217675e-05,2.9799639981230744e-05
MKD,1980-1999,8.6508980389288346e-06,2.5240966152371522e-05
COK,1980-1999,8.8379399299693115e-06,2.9127119022082826e-05
KO-,1980-1999,1.0888580624541619e-05,2.6011943600913923e-05
STP,1980-1999,3.9796551634039957e-05,6.0352470475039319e-05
AIA,1980-1999,9.0033239039982917e-06,9.4347067062648928e-05
UZB,1980-1999,-5.1410279027911027e-06,3.9570196319146299e-05
TZA,1980-1999,2.4662328245369191e-05,6.8555819172927784e-05
SLE,1980-1999,-5.1398078952988856e-06,9.1985200702966475e-05
SWZ,1980-1999,1.3505672913840682e-05,4.1469832524103311e-05
PER,1980-1999,9.2528863594172189e-06,3.9676936950496536e-05
BRN,1980-1999,2.2844173333102181e-05,0.00010502871138249557
ATG,1980-1999,6.2100903923904406e-06,0.0001089656324151598
LIE,1980-1999,1.1236013857451459e-05,1.8987375072164688e-05
GIN,1980-1999,1.5880808302632862e-06,8.7408411238362063e-05
SMR,1980-1999,1.0026047195576493e-05,2.0723388970786341e-05
AGO,1980-1999,1.8166134867227387e-05,5.7174908127776833e-05
TUR,1980-1999,-2.0905908676032174e-06,3.5326187564265647e-05
AND,1980-1999,1.3106942044808691e-05,1.9906302565809557e-05
DOM,1980-1999,8.1899436491576671e-06,0.00010759484502705294
PAK,1980-1999,-6.5764892354637885e-05,9.9182886960200842e-05
LCA,1980-1999,1.0575390741570855e-05,9.0202949375263044e-05
MWI,1980-1999,2.799503768027544e-05,7.4937639444967684e-05
CUW,1980-1999,-1.8102589295841343e-05,0.00012846395123870791
NER,1980-1999,-0.00014823284904723553,0.0002029143018972592
ALA,1980-1999,1.3916892076340676e-05,2.39613827175098e-05
TTO,1980-1999,1.7739834319962771e-05,0.00011578849449940262
SUR,1980-1999,4.9102321116837268e-06,0.00011957463057008976
GLP,1980-1999,9.2954764560226254e-06,9.6424896891135535e-05
BDI,1980-1999,5.3704734149596034e-05,6.8322377069779576e-05
SGS,1980-1999,nan,nan
NIC,1980-1999,6.8639115991261807e-06,8.0669571825800994e-05
SP-,1980-1999,nan,nan
VGB,1980-1999,9.0409970156958767e-06,9.4401873479247787e-05
SLV,1980-1999,9.7276749206299974e-06,7.2027505615352151e-05
CMR,1980-1999,-5.1817321235813471e-06,8.9155503894462908e-05
FUND-EEU,1980-1999,4.4522895001677635e-06,1.7594273567436439e-05
MTQ,1980-1999,1.0947091906038866e-05,9.6401095321221742e-05
LVA,1980-1999,8.206986023921406e-06,1.6309025518113595e-05
MYT,1980-1999,8.6062371653263676e-06,7.8424635668041892e-05
MCO,1980-1999,7.5488636517119619e-06,2.7544999640692125e-05
ABW,1980-1999,-6.6631844513464522e-06,0.00010485219022201229
GNQ,1980-1999,8.7164827619993277e-06,7.4893340209601297e-05
SYC,1980-1999,6.7884503926704299e-06,9.4653291203828117e-05
KIR,1980-1999,1.0735634765728489e-06,0.00012348425043231406
ECU,1980-1999,5.3773949844942852e-06,6.2810322449934717e-05
LKA,1980-1999,6.7466717698007008e-07,9.4390481348602642e-05
GAB,1980-1999,9.7826883362302291e-06,9.3374518095853034e-05
MAC,1980-1999,5.6681884610731546e-07,6.3751806972572634e-05
MLI,1980-1999,-8.8175670303388141e-05,0.00014548081747184309
PRT,1980-1999,-2.3248519734214736e-06,1.9143357125284826e-05
VCT,1980-1999,8.3683579690757278e-06,9.5759327418454236e-05
FIN,1980-1999,2.3403896180984175e-05,2.763513337911257e-05
KOR,1980-1999,-6.006814453486604e-06,2.0811384367756401e-05
SYR,1980-1999,-1.9499844523561537e-05,6.3937111656444176e-05
VNM,1980-1999,-1.3686177964306294e-05,8.1235840604783728e-05
CHE,1980-1999,3.123026047716654e-06,1.1964904964933671e-05
EGY,1980-1999,-1.1977824115496334e-05,7.9669626135580747e-05
TUN,1980-1999,-4.3296996216134488e-06,4.7725975092696909e-05
FUND-ANZ,1980-1999,-6.3661748477392616e-06,2.1182231755786974e-05
IRN,1980-1999,-1.5834246975181328e-05,4.6803780196898493e-05
TGO,1980-1999,-4.4878588818845515e-05,0.00012739437756269166
SWE,1980-1999,1.3185260453800378e-05,1.8635656839033753e-05
FUND-LAM,1980-1999,5.5699438880127485e-06,5.8260070380166431e-05
RUS,1980-1999,1.3207206668821109e-05,2.2976138548864728e-05
IRQ,1980-1999,-0.00010681178916478009,0.00013849893013262245
HRV,1980-1999,7.6204314407043596e-07,2.0007451463865214e-05
SVN,1980-1999,-8.6996952847075765e-07,1.3530308952190411e-05
MOZ,1980-1999,7.1105471491645622e-06,8.0005019624644632e-05
SEN,1980-1999,-1.9309809675559696e-05,9.4887338346853696e-05
RWA,1980-1999,4.9784749154360816e-05,5.4257045866869207e-05
CCK,1980-1999,1.386052823846853e-05,4.0234106983391047e-05
FUND-SSA,1980-1999,-8.7788788746112928e-06,8.7601292864679018e-05
BLZ,1980-1999,2.0990070867756283e-06,8.6017215929268227e-05
GEO,1980-1999,8.0712815266353249e-06,2.8674945675749348e-05
GUF,1980-1999,5.5613469400060631e-06,0.00010510741012027198
BTN,1980-1999,1.0095648776593576e-05,2.6024578857590008e-05
AUS,1980-1999,-6.8913970807343092e-06,2.3775154009599926e-05
MDA,1980-1999,1.8239008906954095e-05,3.7179429059866301e-05
VIR,1980-1999,7.8093967157065409e-06,9.8188783421806542e-05
MDV,1980-1999,1.3658510254105612e-05,6.2525003685554048e-05
HND,1980-1999,1.2706475350176449e-05,5.7945416175659122e-05
BHS,1980-1999,3.9098576710208276e-06,8.2163008132502232e-05
FJI,1980-1999,1.1231612941889369e-05,6.0790685905392975e-05
NRU,1980-1999,6.5726988439149082e-06,0.00010974582844913969
NCL,1980-1999,2.3856040142930167e-06,4.0009415779233846e-05
FUND-#N/A,1980-1999,nan,nan
ARG,1980-1999,1.5718534024529625e-08,2.7314264950361848e-05
ZWE,1980-1999,4.5057013681858237e-05,8.6759503994525124e-05
FLK,1980-1999,3.3487173543663916e-06,9.3233256068969089e-06
FRO,1980-1999,5.9781827705013128e-06,1.4027311928362248e-05
