region,year,mean,sdev
CYP,1980-1999,0.0,0.0
TON,1980-1999,0.0,0.0
MHL,1980-1999,0.0,0.0
CHN,1980-1999,0.0,0.0
MAF,1980-1999,0.0,0.0
VUT,1980-1999,0.0,0.0
SPM,1980-1999,0.0,0.0
BEL,1980-1999,0.0,0.0
ISL,1980-1999,0.0,0.0
CHL,1980-1999,0.0,0.0
POL,1980-1999,0.0,0.0
MLT,1980-1999,0.0,0.0
FUND-FSU,1980-1999,0.0,0.0
GMB,1980-1999,0.0,0.0
BLM,1980-1999,0.0,0.0
KHM,1980-1999,0.0,0.0
GTM,1980-1999,0.0,0.0
DMA,1980-1999,0.0,0.0
HTI,1980-1999,0.0,0.0
SRB,1980-1999,0.0,0.0
NLD,1980-1999,0.0,0.0
UMI,1980-1999,0.0,0.0
BRB,1980-1999,0.0,0.0
GNB,1980-1999,0.0,0.0
GRL,1980-1999,0.0,0.0
TWN,1980-1999,nan,nan
COG,1980-1999,0.0,0.0
COD,1980-1999,0.0,0.0
IRL,1980-1999,0.0,0.0
JOR,1980-1999,0.0,0.0
BHR,1980-1999,0.0,0.0
YEM,1980-1999,0.0,0.0
NPL,1980-1999,0.0,0.0
LAO,1980-1999,0.0,0.0
CAN,1980-1999,0.0,0.0
URY,1980-1999,0.0,0.0
KWT,1980-1999,0.0,0.0
CPV,1980-1999,0.0,0.0
SHN,1980-1999,0.0,0.0
UGA,1980-1999,0.0,0.0
UKR,1980-1999,0.0,0.0
TCD,1980-1999,0.0,0.0
SSD,1980-1999,0.0,0.0
PLW,1980-1999,0.0,0.0
HMD,1980-1999,nan,nan
PHL,1980-1999,0.0,0.0
CA-,1980-1999,0.0,0.0
WSM,1980-1999,0.0,0.0
DNK,1980-1999,0.0,0.0
ESH,1980-1999,0.0,0.0
FUND-CHI,1980-1999,0.0,0.0
ATF,1980-1999,nan,nan
BFA,1980-1999,0.0,0.0
VEN,1980-1999,0.0,0.0
ARM,1980-1999,0.0,0.0
TJK,1980-1999,0.0,0.0
EST,1980-1999,0.0,0.0
ARE,1980-1999,0.0,0.0
THA,1980-1999,0.0,0.0
FUND-USA,1980-1999,0.0,0.0
MAR,1980-1999,0.0,0.0
ZMB,1980-1999,0.0,0.0
FUND-SIS,1980-1999,0.0,0.0
,1980-1999,0.0,0.0
