region,year,mean,sdev
CYP,1980-1999,6.1899592770280287e-05,8.2982545567469171e-05
TON,1980-1999,3.6215002727218277e-05,7.4981496112115032e-05
MHL,1980-1999,3.3254549775757814e-05,9.7439778812383223e-05
CHN,1980-1999,4.1157454748500872e-05,5.9694274701448771e-05
MAF,1980-1999,1.3238285688818191e-05,0.00010305472298280361
VUT,1980-1999,2.1481841039631483e-05,7.9432635482929673e-05
SPM,1980-1999,0.00010392590876108868,0.00011100772936145271
BEL,1980-1999,1.259279698514211e-05,2.0267722794734374e-05
ISL,1980-1999,1.2130495652979504e-06,8.6799131747991487e-06
CHL,1980-1999,6.1608824192678445e-05,4.7712016942740742e-05
POL,1980-1999,4.5609687115279933e-05,4.6982138474856187e-05
MLT,1980-1999,5.8672438578287054e-05,6.9715230340216023e-05
FUND-FSU,1980-1999,7.7619911585067824e-05,8.7279027244629244e-05
GMB,1980-1999,-0.00011080402173312499,0.00013778462767561565
BLM,1980-1999,5.3842855829928055e-05,9.0039046596863124e-05
KHM,1980-1999,-0.00014021190080641362,0.00016297614572800543
GTM,1980-1999,7.1522680564297853e-05,8.3189718903712255e-05
DMA,1980-1999,4.2802733209526738e-05,9.2036753348296462e-05
HTI,1980-1999,-0.00011449434774744461,0.00018388982214602369
SRB,1980-1999,9.282642685134463e-05,0.00011127549196177768
NLD,1980-1999,7.5493729179347491e-06,1.9964729134505486e-05
UMI,1980-1999,3.3185462079546997e-05,9.9215024866569664e-05
BRB,1980-1999,7.4694053243112081e-05,0.00013334156568966824
GNB,1980-1999,-0.00015184483259617469,0.00016469559193851963
GRL,1980-1999,0.0003770582490255614,0.00048969337410634662
TWN,1980-1999,nan,nan
COG,1980-1999,-2.6496553746983053e-05,0.00010663127776156602
COD,1980-1999,-9.6551968649880132e-05,0.00020865480138867128
IRL,1980-1999,1.0341188560699889e-05,1.7625670455193979e-05
JOR,1980-1999,9.4321973091669736e-05,0.00013121705157145087
BHR,1980-1999,2.988611675465786e-05,0.00011768770987185618
YEM,1980-1999,7.5301807916957798e-05,0.00012329884606618281
NPL,1980-1999,3.1932437680423139e-05,0.0001592542395363044
LAO,1980-1999,-3.4986109947734727e-05,0.00010226409611320631
CAN,1980-1999,1.1891270025707826e-05,2.3535277091372631e-05
URY,1980-1999,3.5881858998751379e-05,4.6274201842430971e-05
KWT,1980-1999,3.604361811704793e-05,0.00011302671677959793
CPV,1980-1999,6.6395151701324846e-05,0.00012948268039999133
SHN,1980-1999,0.00010743229782147298,0.00011237934046766254
UGA,1980-1999,1.4873809583649007e-05,0.00015879630009997433
UKR,1980-1999,0.00010259319803148978,0.00011832778629771557
TCD,1980-1999,-0.00025804476157468425,0.00025797782036885428
SSD,1980-1999,-3.0124886159567921e-05,0.00014959292601414781
PLW,1980-1999,-1.2139723963419427e-07,0.00010980246847207959
HMD,1980-1999,nan,nan
PHL,1980-1999,-4.9695598788098841e-05,0.00011090958720113092
CA-,1980-1999,7.0151121197448209e-05,0.0001163348495427385
WSM,1980-1999,-1.3732217780958189e-05,9.2263426440087853e-05
DNK,1980-1999,1.2689504244159289e-05,2.2751065230164375e-05
ESH,1980-1999,3.931469701881598e-05,7.785193134943541e-05
FUND-CHI,1980-1999,4.1839095214089526e-05,5.9435095821640616e-05
ATF,1980-1999,nan,nan
BFA,1980-1999,-0.00028978607316194893,0.0002667098920453226
VEN,1980-1999,3.5772623855785298e-05,9.4441147836568304e-05
ARM,1980-1999,8.5324782200535922e-05,0.00011772155600279381
TJK,1980-1999,0.00011685685368596756,0.00018110140821708283
EST,1980-1999,4.2707018925246871e-05,5.2439121735902504e-05
ARE,1980-1999,4.9095891457023817e-05,0.00010785437823667416
THA,1980-1999,-9.1666164985284392e-06,9.2904971536026071e-05
FUND-USA,1980-1999,2.4305444246860532e-05,3.9496074364829428e-05
MAR,1980-1999,0.00010678619728280617,0.00013488853150848523
ZMB,1980-1999,3.7169969267044667e-05,0.0001533275536285639
FUND-SIS,1980-1999,-1.0380485307825636e-05,0.00010634951226741885
,1980-1999,3.264359712213969e-05,8.194944434909777e-05
IND,1980-1999,-6.3580849278414221e-05,0.00011551749017251643
GGY,1980-1999,9.1093905906278029e-05,9.3243829148699584e-05
MSR,1980-1999,1.3514243228370124e-05,9.9895812392537903e-05
PCN,1980-1999,9.239498261503728e-05,0.00011447880638962709
MKD,1980-1999,9.3022789927715447e-05,0.0001017098002572982
COK,1980-1999,4.9217245085726067e-05,8.2350174893620158e-05
KO-,1980-1999,0.00010265219339366201,0.00011292160095478559
STP,1980-1999,0.00010907848999438876,0.00016705085970464105
AIA,1980-1999,1.5836965050029437e-05,0.00010095477188329793
UZB,1980-1999,7.6803359646531702e-05,0.00016381317300736973
TZA,1980-1999,1.4512414457806204e-05,0.00013982307421747837
SLE,1980-1999,-0.00011853782409410058,0.00015778395755796989
SWZ,1980-1999,6.1015792847865856e-05,9.4686114264118384e-05
PER,1980-1999,8.308779089337286e-05,7.2439275005849936e-05
BRN,1980-1999,0.00013436637975937997,0.00015211895820975636
ATG,1980-1999,3.8915037512119787e-07,0.00011305432921876189
LIE,1980-1999,9.1320619590007704e-05,9.3800820035927295e-05
GIN,1980-1999,-8.7584005858667765e-05,0.00015296905653566916
SMR,1980-1999,0.00010703048324574017,0.00010465005407019282
AGO,1980-1999,5.8361022692862474e-05,8.536738185344971e-05
TUR,1980-1999,7.1837313051934117e-05,8.3290008429691431e-05
AND,1980-1999,9.4235244887381662e-05,8.87929310286124e-05
DOM,1980-1999,3.113746451704806e-05,0.00011042933931542569
PAK,1980-1999,-9.1674823207674421e-05,0.00016781062717711925
LCA,1980-1999,2.7546607267432375e-05,9.9151188779268733e-05
MWI,1980-1999,1.8215272667686662e-05,0.00018056538044965381
CUW,1980-1999,-3.0342790431094647e-05,0.00013068133698156264
NER,1980-1999,-0.0004397313428030622,0.00041036421785858694
ALA,1980-1999,0.00011306824709621164,0.00012254525630515462
TTO,1980-1999,0.00010066263717846115,0.00014733503538396674
SUR,1980-1999,1.4288297380817926e-05,0.00012238314849116687
GLP,1980-1999,1.1185126136906017e-05,0.00010354448053791999
BDI,1980-1999,0.00010491912596230992,0.00021661636580859369
SGS,1980-1999,nan,nan
NIC,1980-1999,-3.1151271752499505e-05,0.00011081719582537632
SP-,1980-1999,nan,nan
VGB,1980-1999,1.3088886661515853e-05,9.9769016912278476e-05
SLV,1980-1999,1.7505103089174149e-05,8.1150237182506282e-05
